name,type,genre,link
Bowery Electric - Beat (full album) [HD],album-upload,,https://www.youtube.com/watch?v=4oQt49NReEM
Justice -  Cross (Full album),album-upload,,https://www.youtube.com/watch?v=Yt0kHiRsnHA
Aphex Twin - Selected Ambient Works Volume II (Expanded Edition) (Full Album),album-upload,,https://www.youtube.com/watch?v=MW3tcBRe41w
Mega Drive - Neuroframe | FULL ALBUM | 2021 |,album-upload,,https://www.youtube.com/watch?v=0XcB8ePUXVM
ODESZA - A Moment Apart (Full Album),album-upload,,https://www.youtube.com/watch?v=tKmwR2jo0zw
Realogic – Logic Emotion (1995) | Full Album | Ambient / Trance / Downtempo / Electronic,album-upload,,https://www.youtube.com/watch?v=tFUivJtXfyw
Kingdom Hearts [Complete Original Soundtrack] w/ Timestamps,album-upload,,https://www.youtube.com/watch?v=1xwQs5gKTo4
Undertale - Original Video Game Soundtrack w/Timestamps,album-upload,,https://www.youtube.com/watch?v=ppIZLh0KqmY
Minecraft - Full Game Soundtrack OST (with Timestamps),album-upload,,https://www.youtube.com/watch?v=EYvEJyH-Lmw
Xenoblade Chronicles | Full OST with Timestamps | High Quality Soundtrack,album-upload,,https://www.youtube.com/watch?v=42uxt5IBZqs
"Pokémon Diamond, Pearl & Platinum Full OST (with timestamps)",album-upload,,https://www.youtube.com/watch?v=kefBHfBmI1k
Breath of the Wild Soundtrack Playlist - Full OST with Timestamps,album-upload,,https://www.youtube.com/watch?v=JYaid9Uc56Y
Super Mario Galaxy 2 - Original Soundtrack w/Timestamps and Background Images,album-upload,,https://www.youtube.com/watch?v=7J7ABGM7W8E
Pokémon X & Y Full OST (with timestamps),album-upload,,https://www.youtube.com/watch?v=qr4jTyvAMtw
Skylanders Giants Full Soundtrack [OST] With Timestamps,album-upload,,https://www.youtube.com/watch?v=OhasiaMZo64
Coral Island - Full Album OST with Timestamps,album-upload,,https://www.youtube.com/watch?v=GgTAeIOkSpU
Terraria Calamity: The Tale of a Cruel World (OST) | Full + Timestamps [Original Game Soundtrack],album-upload,,https://www.youtube.com/watch?v=THEovEMfhyg
Eastward OST - Full 72 Original SoundTracks w/ Timestamps 💽,album-upload,,https://www.youtube.com/watch?v=WfxEdcUYuHQ
Skylanders Trap Team Full Soundtrack [OST] With Timestamps,album-upload,,https://www.youtube.com/watch?v=PvE2Sacgy7U
.• . Cool audios I like cause I wanna become a galaxy ranger . •. || [ + Timestamps ] ,album-upload,,https://www.youtube.com/watch?v=MtcGAqA7Ods
Ixion (Original Soundtrack) w/Timestamps,album-upload,,https://www.youtube.com/watch?v=itx0-fv5R8o
50 Most Beautiful Classical Music Pieces,album-upload,,https://www.youtube.com/watch?v=WQhFl7RdBh8
Best of Tchaikovsky - Classical Music Gems,album-upload,,https://www.youtube.com/watch?v=js6zXgxk0cQ
"Peaceful Classical Music | Bach, Mozart, Vivaldi...",album-upload,,https://www.youtube.com/watch?v=ElWSdcg67RY
"8 Hours The Best of Classical Music: Mozart, Beethoven, Vivaldi, Chopin...Classical Music Playlist",album-upload,,https://www.youtube.com/watch?v=T_Dy9OvgjHY
"10 Hours Classical Music |  Mozart, Bach, Chopin...",album-upload,,https://www.youtube.com/watch?v=VThrx5MRJXA
Classical Adagios | Calm Classical Music,album-upload,,https://www.youtube.com/watch?v=2zL-G1hRILY
Best of Brahms - Classical Music Gems,album-upload,,https://www.youtube.com/watch?v=gwBJUM0zPsg
The Best of Andrés Segovia /// Guitar Masterpieces for Classical Music Lovers (Full Album) [HQ],album-upload,,https://www.youtube.com/watch?v=UheTC4nzb_0
8 Hours Classical Music for Working,album-upload,,https://www.youtube.com/watch?v=Hlp6aawXVoY
"Classical Chillout - Pachelbel,Mozart,Beethoven,Debussy,Janacek,Bach,Handel",album-upload,,https://www.youtube.com/watch?v=GnoagubVC-A
The Greatest Classical Masterpieces,album-upload,,https://www.youtube.com/watch?v=AGfBTRkN0y0
The Best of Astor Piazzolla | Classical & Orchestral Arrangements,album-upload,,https://www.youtube.com/watch?v=NMd8OVi8n7s
Best of Richard Wagner - Classical Music Gems,album-upload,,https://www.youtube.com/watch?v=SHWe0cO0kAU
"8 Hours Classical Piano Music | Chopin, Debussy, Mozart, Bach...",album-upload,,https://www.youtube.com/watch?v=WLWJy1eXX2c
Best of Rachmaninoff - Essential Classical Music,album-upload,,https://www.youtube.com/watch?v=895pPv4l_9Q
Jethro Tull - Benefit (Full Album 1970),album-upload,,https://www.youtube.com/watch?v=TmlYP2Otres
Funkadelic Funkadelic- Full Album (1970),album-upload,,https://www.youtube.com/watch?v=LRJCED7Fbjs
Creedence Clearwater Revival - Cosmo's Factory 1970 full album,album-upload,,https://www.youtube.com/watch?v=0WJRLLb8uto
Gypsy -Gypsy  1970  (full album),album-upload,,https://www.youtube.com/watch?v=E-vK3TTHWpM
May Blitz – May Blitz 1970 FULL ALBUM,album-upload,,https://www.youtube.com/watch?v=BajCyCewmXg
David Bowie - The Essential 70s Rock Collection [Ziggy Stardust to Heroes],album-upload,,https://www.youtube.com/watch?v=KVXc0VCsmb4
Canned Heat - Vintage (full album) 1970,album-upload,,https://www.youtube.com/watch?v=Pi0ZgdX2pps
Glass Harp - Glass Harp 1970  (full album),album-upload,,https://www.youtube.com/watch?v=-UBrqQJ8iFY
Statṳs̤ Quo̤ - M̤a̤ ̤ Kelly's  Greas̤y̤ Spoo̤n̤ ̤ 1970 Full Album,album-upload,,https://www.youtube.com/watch?v=l0cOwoRvqPo
"When Music Was Magic - Classic Rock Hits of the 1970's - Who, Journey, ZZ Top, Rush, and More.",album-upload,,https://www.youtube.com/watch?v=rMIRECxw6qA
Rumplestiltskin - Rumplestiltskin  1970  (full album),album-upload,,https://www.youtube.com/watch?v=V66x77yQzWM
Syd Barrett – Barrett [Full Album 1970],album-upload,,https://www.youtube.com/watch?v=PtYn5w3QvS0
Eric Burdon and War  - The Black-Man's Burdon  1970  (full album),album-upload,,https://www.youtube.com/watch?v=4nJ9I0dZ7Vo
The 100 Greatest 70s Billboard Hits Remixed | Best of 1970s Music (2025 Edition),album-upload,,https://www.youtube.com/watch?v=OtNy5Jdinr4
Psycroptic - The Pulse of Annihilation (FULL ALBUM),album-upload,,https://www.youtube.com/watch?v=D_QWx9KV6V0
Amon Amarth - Twilight of the Thunder God (FULL ALBUM),album-upload,,https://www.youtube.com/watch?v=f8YOT5f1wVs
GOJIRA  - The Way Of All Flesh (Full Album),album-upload,,https://www.youtube.com/watch?v=Kf4eR4FVKzE
Deftones - Private Music (Full Album),album-upload,,https://www.youtube.com/watch?v=PyNj9xxiA20
MASTODON - Leviathan (Full Album Stream),album-upload,,https://www.youtube.com/watch?v=4Kp0LxKTZhk
SCAR SYMMETRY - Holographic Universe (OFFICIAL FULL ALBUM STREAM),album-upload,,https://www.youtube.com/watch?v=zd1q7b95alI
MAJESTICA - Power Train (Official Full Album),album-upload,,https://www.youtube.com/watch?v=dTTNcC0qJcs
Metallica - ...And Justice for All (Remixed & Remastered) | Full Album,album-upload,,https://www.youtube.com/watch?v=ISrPFoFB4wQ
In Flames - The Jester Race (Official Full Album Stream),album-upload,,https://www.youtube.com/watch?v=2rUwQpwcOMI
Whitechapel - Hymns in Dissonance (FULL ALBUM),album-upload,,https://www.youtube.com/watch?v=C1JVtEPbcpM
Allegaeon - The Ossuary Lens (FULL ALBUM),album-upload,,https://www.youtube.com/watch?v=KbaOstpk7Us
Death - Symbolic (Full Album) [Official Video],album-upload,,https://www.youtube.com/watch?v=QH4jrLL-sS4
Pantera - Cowboys From Hell (Full Album) [Official Video],album-upload,,https://www.youtube.com/watch?v=xolAPOWtYVE
Faith No More - Angel Dust (Full Album) [Official],album-upload,,https://www.youtube.com/watch?v=k0tUb-87kP8
