name,type,genre,link
𝐇𝐨𝐭/𝐏𝐨𝐩𝐮𝐥𝐚𝐫 𝐓𝐢𝐤𝐭𝐨𝐤 𝐄𝐝𝐢𝐭 𝐀𝐮𝐝𝐢𝐨𝐬 𝐚𝐧𝐝 𝐩𝐡𝐨𝐧𝐤𝐬 𝐟𝐨𝐫 𝐲𝐨𝐮𝐫 𝐢𝐦𝐚𝐠𝐢𝐧𝐚𝐫𝐲 𝐞𝐝𝐢𝐭𝐬(𝐭𝐢𝐦𝐞𝐬𝐭𝐚𝐦𝐩𝐬)(5k sub edition 💞)#fyp,album-upload,,https://www.youtube.com/watch?v=O6EGRSkmEH4
ODETARI PLAYLIST,album-upload,,https://www.youtube.com/watch?v=b3SJt82wbtI
"Songs That Hit Different at 2AM | Kanye West, Kendrick Lamar, Tyler The Creator",album-upload,,https://www.youtube.com/watch?v=M8DpRFpmN8Q
"#35 KPOP PLAYLIST | BLACKPINK, BTS, TWICE, IVE, Stray Kids, TXT, MEOVV, aespa + MORE | Tyna Nguyễn",album-upload,,https://www.youtube.com/watch?v=4XCm5mBe_Ao
[Official] TUNIC (Original Soundtrack) - Full Album / Lifeformed × Janice Kwan,album-upload,,https://www.youtube.com/watch?v=nnvjKf_mRYM
Hades: Original Soundtrack - Full Album,album-upload,,https://www.youtube.com/watch?v=3GRKJ87S5cI
Pyre Original Soundtrack - Full Album,album-upload,,https://www.youtube.com/watch?v=uH3Aoj1nw58
Journey OST ♬ Complete Original Soundtrack,album-upload,,https://www.youtube.com/watch?v=7kvmPh2nYBM
Gris - Original Game Soundtrack (full ost official video),album-upload,,https://www.youtube.com/watch?v=I6rufOlNyYM
Chained Echoes (Original Game Soundtrack) (Full Album),album-upload,,https://www.youtube.com/watch?v=lL-qCl0iIT0
Ghost of Tsushima - Original Soundtrack Full Album,album-upload,,https://www.youtube.com/watch?v=Jtdaf0-mlYQ
Spiritfarer (Complete Original Soundtrack) - Max LL,album-upload,,https://www.youtube.com/watch?v=JZTKFiCMA-o
Chicory: A Colorful Tale Original Soundtrack FULL ALBUM [Official],album-upload,,https://www.youtube.com/watch?v=dNhL0ufsGdI
Assassin's Creed Unity (The Complete Edition) [Original Game Soundtrack],album-upload,,https://www.youtube.com/watch?v=g2oo1PP9weA
SUBNAUTICA - Full Soundtrack OST - Music by Simon Chylinski,album-upload,,https://www.youtube.com/watch?v=aT9_-P7N950
Daniel Deluxe - Ghostrunner (Original Soundtrack) 2020,album-upload,,https://www.youtube.com/watch?v=0FV02Hs41aI
Diablo II: Resurrected [Full Game Soundtrack] HQ,album-upload,,https://www.youtube.com/watch?v=iN4pcODdma8
DUNE Official Soundtrack | Full Album - Hans Zimmer | WaterTower,album-upload,,https://www.youtube.com/watch?v=uTmBeR32GRA
Assassin's Creed IV : BLack Flag (Full Official Soundtrack) - Brian Tyler,album-upload,,https://www.youtube.com/watch?v=JYVMnLUZu9Y
Gasoline - A Journey Into Abstract Hip-Hop [Full album],album-upload,,https://www.youtube.com/watch?v=3q8nGnls1Ow
"LEGENDARY OLD SCHOOL HIP HOP MIX 🔥🔥🔥 Snoop Dogg, Dr. Dre, 50 Cent, 2Pac, Ice Cube, Eminem & More",album-upload,,https://www.youtube.com/watch?v=Z50N6gL136M
The Notorious B.I.G. - Life After Death (Full Album),album-upload,,https://www.youtube.com/watch?v=rCyWFj0nLyk
